
="",="(1)",="(2)",="(3)",="(4)"
="",="Low Risk",="High Risk",="Low Risk + Ctrl",="High Risk + Ctrl"

="1. Treatment",="-0.154",="-0.103",="-0.170*",="-0.172"
="",="(0.106)",="(0.149)",="(0.059)",="(0.148)"

="Entrepreneur=1",="-0.191",="-0.069",="-0.166*",="-0.069"
="",="(0.087)",="(0.145)",="(0.068)",="(0.164)"

="1. Treatment # Entrepreneur=1",="0.261**",="0.139",="0.242*",="0.197"
="",="(0.081)",="(0.178)",="(0.094)",="(0.255)"

="Female",="",="",="-0.349***",="-0.393**"
="",="",="",="(0.039)",="(0.109)"

="Marital status",="",="",="-0.116",="-0.171"
="",="",="",="(0.162)",="(0.079)"

="Education",="",="",="0.036*",="0.063"
="",="",="",="(0.012)",="(0.040)"

="Vocational Training",="",="",="-0.068",="-0.038"
="",="",="",="(0.029)",="(0.092)"

="Age",="",="",="-0.002",="0.002"
="",="",="",="(0.003)",="(0.005)"

="N of Contacts",="",="",="-0.013",="0.044"
="",="",="",="(0.029)",="(0.048)"

="area",="",="",="-0.110*",="-0.153"
="",="",="",="(0.036)",="(0.107)"

="Constant",="0.340*",="0.261",="0.833**",="0.374"
="",="(0.107)",="(0.123)",="(0.218)",="(0.373)"

="Observations",="196",="103",="191",="98"
="R-squared",="0.029",="0.008",="0.195",="0.343"

="Standard errors in parentheses"
="* p<0.10, ** p<0.05, *** p<0.01"
